Orig Order,RTH #,RSH #,TH,SH,Hanzi Parts of Speech,RTH Keyword,RSH Keyword,RTH Read,TH Read,SH Freq Meaning,SH Freq Pinyin,SH Freq,SH Freq Rank,SH Freq Group,Opt RTH,Opt RSH,RTH Lesson,RTH Merge Lesson,RSH Lesson,RSH Lesson Merged,SH and TH check,SH and TH keywords
1,1,1,一,一,,one,one,yī,yī,one/1/single/a(n),yi1,1.58%,2,1,1,1,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
2,2,2,二,二,,two,two,èr,èr,two/2,er4,0.14%,157,1,2,2,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
3,3,3,三,三,,three,three,sān,sān,three/3,san1,0.16%,125,1,3,3,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
10,10,10,十,十,,ten,ten,shí,shí,ten/10,shi2,0.18%,112,1,4,4,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
11,11,11,口,口,,mouth,mouth,kǒu,kǒu,mouth/(a measure word),kou3,0.10%,212,1,5,5,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
12,12,12,日,日,,day,day,rì,rì,Japan/day/sun/date/day of the month,ri4,0.19%,101,1,6,6,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
13,13,13,月,月,,month,month,yuè,yuè,moon/month,yue4,0.12%,169,1,7,7,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
15,15,15,目,目,,eye,eye,mù,mù,eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title,mu4,0.09%,239,1,8,8,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
20,20,21,明,明,,bright,bright,míng,míng,clear/bright/to understand/next/the Ming dynasty,ming2,0.16%,121,1,9,9,RTH1-L02,RTH1-L02,RSH1-L02,RSH1-L02,SH = TH,SH key = TH key
27,27,28,世,世,,generation,generation,shì,shì,life/age/generation/era/world/lifetime,shi4,0.11%,181,1,10,10,RTH1-L02,RTH1-L02,RSH1-L02,RSH1-L02,SH = TH,SH key = TH key
32,32,33,自,自,,oneself,oneself,zì,zì,from/self/oneself/since,zi4,0.32%,43,1,11,11,RTH1-L03,RTH1-L03,RSH1-L03,RSH1-L03,SH = TH,SH key = TH key
33,33,34,白,白,,white,white,bái,bái|bó,white/snowy/empty/blank/bright/clear/plain/pure/gratuitous,bai2,0.08%,286,1,12,12,RTH1-L03,RTH1-L03,RSH1-L03,RSH1-L03,SH = TH,SH key = TH key
34,34,35,百,百,,hundred,hundred,bǎi,bǎi,hundred,bai3,0.05%,407,2,13,13,RTH1-L03,RTH1-L03,RSH1-L03,RSH1-L03,SH = TH,SH key = TH key
36,36,38,中,中,n./adj.,middle,middle,zhōng,zhōng|zhòng,"within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)",zhong1/zhong4,0.57%,14,1,14,14,RTH1-L03,RTH1-L03,RSH1-L03,RSH1-L03,SH = TH,SH key = TH key
37,37,39,千,千,,thousand,thousand,qiān,qiān,"thousand, a swing",qian1,0.04%,599,2,15,15,RTH1-L03,RTH1-L03,RSH1-L03,RSH1-L03,SH = TH,SH key = TH key
44,44,45,上,上,,above,above,shàng,shàng|shang|shǎng,"on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up",shang4,0.55%,16,1,16,16,RTH1-L03,RTH1-L03,RSH1-L03,RSH1-L03,SH = TH,SH key = TH key
45,45,46,下,下,,below,below,xià,xià,"under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter",xia4,0.32%,42,1,17,17,RTH1-L03,RTH1-L03,RSH1-L03,RSH1-L03,SH = TH,SH key = TH key
50,50,51,只,只,,only,only,zhǐ,zhǐ|zhī,"earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only",qi2/zhi1/zhi3,0.19%,97,1,18,18,RTH1-L04,RTH1-L04,RSH1-L04,RSH1-L04,SH = TH,SH key = TH key
8,8,8,八,八,,eight,eight,bā,bā,eight/8,ba1,0.05%,451,2,19,19,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
54,54,55,員,员,,employee,employee,yuán,yuán,person/employee/member,yuan2,0.10%,200,1,20,20,RTH1-L04,RTH1-L04,RSH1-L04,RSH1-L04,SH <> TH,SH key = TH key
55,55,58,見,见,,see,see,jiàn,jiàn|xiàn,"to see/to meet/to appear (to be sth)/to interview, appear",jian4/xian4,0.14%,153,1,21,25,RTH1-L04,RTH1-L04,RSH1-L04,RSH1-L04,SH <> TH,SH key = TH key
4,4,4,四,四,,four,four,sì,sì,four/4,si4,0.10%,226,1,22,22,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
9,9,9,九,九,,nine,nine,jiǔ,jiǔ,nine/9,jiu3,0.05%,445,2,23,24,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
66,66,70,的,的,,bull's eye,bull's eye,de,de,"(possessive particle)/of, really and truly, aim/clear",de/di2/di4,4.10%,1,1,24,27,RTH1-L04,RTH1-L04,RSH1-L04,RSH1-L04,SH = TH,SH key = TH key
68,68,72,直,直,,straight,straight,zhí,zhí,straight/vertical/frank/directly/straightly/upright,zhi2,0.09%,255,1,25,28,RTH1-L05,RTH1-L05,RSH1-L05,RSH1-L05,SH = TH,SH key = TH key
71,71,75,真,真,,true_,true_,zhēn,zhēn,real/true/genuine,zhen1,0.10%,204,1,26,29,RTH1-L05,RTH1-L05,RSH1-L05,RSH1-L05,SH = TH,SH key = TH key
72,72,76,工,工,n.,work,work,gōng,gōng,work/worker/skill/profession/trade/craft/labor,gong1,0.16%,118,1,27,30,RTH1-L05,RTH1-L05,RSH1-L05,RSH1-L05,SH = TH,SH key = TH key
75,75,79,有,有,,possess,possess,yǒu,yǒu,to have/there is/there are/to exist/to be,you3,0.92%,8,1,28,31,RTH1-L05,RTH1-L05,RSH1-L05,RSH1-L05,SH = TH,SH key = TH key
84,84,88,則,则,n.,rule,rule,zé,zé,(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle,ze2,0.08%,284,1,29,32,RTH1-L05,RTH1-L05,RSH1-L05,RSH1-L05,SH <> TH,SH key = TH key
88,88,92,可,可,aux. v.,can,can,kě,kě|kè,can/may/able to/certain(ly)/to suit/(particle used for emphasis),ke3,0.37%,30,1,30,33,RTH1-L05,RTH1-L05,RSH1-L05,RSH1-L05,SH = TH,SH key = TH key
7,7,7,七,七,,seven,seven,qī,qī,seven/7,qi1,0.04%,530,2,31,34,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
92,92,97,子,子,,child,child,zǐ,zǐ|zi,"11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)",zi3/zi,0.33%,37,1,32,35,RTH1-L06,RTH1-L06,RSH1-L06,RSH1-L06,SH = TH,SH key = TH key
95,95,101,了,了,,(-ed),(-ed),le,le|liǎo|liào|liāo|liáo,"(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place",le/liao3/liao4,1.10%,5,1,33,36,RTH1-L06,RTH1-L06,RSH1-L06,RSH1-L06,SH = TH,SH key = TH key
96,96,102,女,女,,woman,woman,nǚ,nǚ,female/woman,nu:3/nv3,0.10%,224,1,34,37,RTH1-L06,RTH1-L06,RSH1-L06,RSH1-L06,SH = TH,SH key = TH key
97,97,103,好,好,,good,good,hǎo,hǎo|hào|hāo,"good/well, be fond of",hao3/hao4,0.21%,82,1,35,38,RTH1-L06,RTH1-L06,RSH1-L06,RSH1-L06,SH = TH,SH key = TH key
98,98,104,如,如,,be like,be like,rú,rú,as (if)/such as,ru2,0.23%,67,1,36,39,RTH1-L06,RTH1-L06,RSH1-L06,RSH1-L06,SH = TH,SH key = TH key
102,102,108,克,克,v.,overcome,overcome,kè,kè|kēi,"gram/subdue/to restrain/to overcome, subdue",ke4,0.09%,262,1,37,40,RTH1-L06,RTH1-L06,RSH1-L06,RSH1-L06,SH = TH,SH key = TH key
103,103,109,小,小,,small,small,xiǎo,xiǎo,small/tiny/few/young,xiao3,0.21%,83,1,38,41,RTH1-L07,RTH1-L07,RSH1-L07,RSH1-L07,SH = TH,SH key = TH key
104,104,110,少,少,,few,few,shǎo,shǎo|shào,"few/little/lack, young",shao3/shao4,0.09%,233,1,39,42,RTH1-L07,RTH1-L07,RSH1-L07,RSH1-L07,SH = TH,SH key = TH key
106,106,113,大,大,,large,large,dà,dà|dài,"big/huge/large/major/great/wide/deep/oldest/eldest, doctor",da4/dai4,0.55%,17,1,40,43,RTH1-L07,RTH1-L07,RSH1-L07,RSH1-L07,SH = TH,SH key = TH key
109,109,116,多,多,,many,many,duō,duō,many/much/a lot of/numerous/multi-,duo1,0.25%,61,1,41,44,RTH1-L07,RTH1-L07,RSH1-L07,RSH1-L07,SH = TH,SH key = TH key
111,111,118,外,外,,outside,outside,wài,wài,outside/in addition/foreign/external,wai4,0.15%,131,1,42,45,RTH1-L07,RTH1-L07,RSH1-L07,RSH1-L07,SH = TH,SH key = TH key
112,112,119,名,名,n.,name,name,míng,míng,name/(measure word for persons)/place (e.g. among winners),ming2,0.10%,203,1,43,46,RTH1-L07,RTH1-L07,RSH1-L07,RSH1-L07,SH = TH,SH key = TH key
119,119,130,光,光,,ray,ray,guāng,guāng,light/ray/bright,guang1,0.08%,290,1,44,47,RTH1-L07,RTH1-L07,RSH1-L07,RSH1-L07,SH = TH,SH key = TH key
120,120,131,太,太,,overly,overly,tài,tài,highest/greatest/too (much)/very/extremely,tai4,0.09%,240,1,45,48,RTH1-L07,RTH1-L07,RSH1-L07,RSH1-L07,SH = TH,SH key = TH key
126,126,137,水,水,n.,water,water,shuǐ,shuǐ,water/river,shui3,0.10%,202,1,46,49,RTH1-L08,RTH1-L08,RSH1-L08,RSH1-L08,SH = TH,SH key = TH key
130,130,142,原,原,,flatlands,flatlands,yuán,yuán,former/original/primary/raw/level/cause/source,yuan2,0.11%,193,1,47,50,RTH1-L08,RTH1-L08,RSH1-L08,RSH1-L08,SH = TH,SH key = TH key
141,141,151,活,活,,lively,lively,huó,huó,to live/alive/living/work/workmanship,huo2,0.10%,219,1,48,51,RTH1-L08,RTH1-L08,RSH1-L08,RSH1-L08,SH = TH,SH key = TH key
156,156,168,時,时,n.,time,time,shí,shí,o'clock/time/when/hour/season/period,shi2,0.43%,25,1,49,52,RTH1-L08,RTH1-L08,RSH1-L08,RSH1-L08,SH <> TH,SH key = TH key
169,169,179,里,里,,li,li,lǐ,lǐ|li,"inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown",li3,0.28%,50,1,50,54,RTH1-L09,RTH1-L09,RSH1-L09,RSH1-L09,SH = TH,SH key = TH key
170,170,180,量,量,,quantity,quantity,liàng,liàng|liáng,"to measure, capacity/quantity/amount/to estimate",liang2/liang4,0.09%,241,1,51,55,RTH1-L09,RTH1-L09,RSH1-L09,RSH1-L09,SH = TH,SH key = TH key
173,173,177,點,点,n.,spot,spot,diǎn,diǎn,(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point),dian3,0.16%,128,1,52,53,RTH1-L09,RTH1-L09,RSH1-L08,RSH1-L08,SH <> TH,SH key = TH key
176,176,185,同,同,,same,same,tóng,tóng|tòng,like/same/similar/together/alike/with,tong2,0.23%,69,1,53,56,RTH1-L09,RTH1-L09,RSH1-L09,RSH1-L09,SH = TH,SH key = TH key
178,178,188,向,向,,orientation,orientation,xiàng,xiàng,"direction/part/side/towards/to/guide/opposite to, guide/opposite to",xiang4,0.14%,146,1,54,57,RTH1-L09,RTH1-L09,RSH1-L09,RSH1-L09,SH = TH,SH key = TH key
183,183,857,實,实,,reality,reality,shí,shí|shī,real/true/honest/really/solid,shi2,0.19%,100,1,55,209,RTH1-L09,RTH1-L09,RSH1-L27,RSH1-L27,SH <> TH,SH key = TH key
186,186,197,安,安,,peaceful,peaceful,ān,ān,content/calm/still/quiet/to pacify/peace,an1,0.09%,232,1,56,58,RTH1-L09,RTH1-L09,RSH1-L09,RSH1-L09,SH = TH,SH key = TH key
199,199,212,相,相,,one another,one another,xiāng,xiāng|xiàng,"each other/one another/mutually, appearance/portrait/picture",xiang1/xiang4,0.14%,152,1,57,60,RTH1-L10,RTH1-L10,RSH1-L10,RSH1-L10,SH = TH,SH key = TH key
200,200,213,本,本,,notebook,notebook,běn,běn,roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word),ben3,0.20%,92,1,58,61,RTH1-L10,RTH1-L10,RSH1-L10,RSH1-L10,SH = TH,SH key = TH key
228,228,247,然,然,,sort of thing,sort of thing,rán,rán,correct/right/so/thus/like this/-ly,ran2,0.26%,55,1,59,63,RTH1-L11,RTH1-L11,RSH1-L11,RSH1-L11,SH = TH,SH key = TH key
236,236,253,特,特,adj.,special,special,tè,tè,"special/unusual/extraordinary, male animal/special (-ly)",te2/te4,0.12%,173,1,60,64,RTH1-L11,RTH1-L11,RSH1-L11,RSH1-L11,SH = TH,SH key = TH key
239,239,256,先,先,,before,before,xiān,xiān,early/prior/former/in advance/first,xian1,0.11%,188,1,61,65,RTH1-L11,RTH1-L11,RSH1-L11,RSH1-L11,SH = TH,SH key = TH key
242,242,260,界,界,,world,world,jiè,jiè|gā|gà,boundary/scope/extent/circles/group/kingdom (taxonomy),jie4,0.08%,288,1,62,67,RTH1-L12,RTH1-L12,RSH1-L12,RSH1-L12,SH = TH,SH key = TH key
244,244,677,會,会,,meeting,meeting,huì,huì|huǐ|kuài,"can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting",hui4/kuai4,0.38%,29,1,63,160,RTH1-L12,RTH1-L12,RSH1-L22,RSH1-L22,SH <> TH,SH key = TH key
245,245,262,合,合,v.,fit,fit,hé,hé|gě,"one-tenth of a peck, Chinese musical note/fit/to join",ge3/he2,0.12%,171,1,64,68,RTH1-L12,RTH1-L12,RSH1-L12,RSH1-L12,SH = TH,SH key = TH key
248,248,265,王,王,,king,king,wáng,wáng|wàng,king/Wang (proper name),wang2,0.07%,299,1,65,69,RTH1-L12,RTH1-L12,RSH1-L12,RSH1-L12,SH = TH,SH key = TH key
251,251,269,現,现,adj.,present,present,xiàn,xiàn,appear/present/now/existing/current,xian4,0.22%,70,1,66,70,RTH1-L12,RTH1-L12,RSH1-L12,RSH1-L12,SH <> TH,SH key = TH key
257,257,275,全,全,,whole,whole,quán,quán,all/whole/entire/every/complete,quan2,0.16%,124,1,67,71,RTH1-L12,RTH1-L12,RSH1-L12,RSH1-L12,SH = TH,SH key = TH key
258,258,276,理,理,,logic,logic,lǐ,lǐ,reason/logic/science/inner principle or structure,li3,0.21%,89,1,68,72,RTH1-L12,RTH1-L12,RSH1-L12,RSH1-L12,SH = TH,SH key = TH key
259,259,277,主,主,,lord,lord,zhǔ,zhǔ,to own/to host/master/lord/primary,zhu3,0.21%,87,1,69,73,RTH1-L12,RTH1-L12,RSH1-L12,RSH1-L12,SH = TH,SH key = TH key
261,261,279,金,金,,gold,gold,jīn,jīn,metal/money/gold,jin1,0.09%,260,1,70,74,RTH1-L12,RTH1-L12,RSH1-L12,RSH1-L12,SH = TH,SH key = TH key
268,268,287,道,道,,way,way,dào,dào|dǎo|dāo,direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk,dao4,0.28%,52,1,71,75,RTH1-L13,RTH1-L13,RSH1-L13,RSH1-L13,SH = TH,SH key = TH key
277,277,303,前,前,,in front,in front,qián,qián,before/in front/ago/former/previous/earlier/front,qian2,0.20%,93,1,72,78,RTH1-L13,RTH1-L13,RSH1-L13,RSH1-L13,SH = TH,SH key = TH key
281,281,309,各,各,,each,each,gè,gè|gě,each/every,ge4,0.10%,209,1,73,81,RTH1-L13,RTH1-L13,RSH1-L13,RSH1-L13,SH = TH,SH key = TH key
290,290,320,軍,军,,army,army,jūn,jūn,army/military/arms,,0.19%,102,1,74,82,RTH1-L14,RTH1-L14,RSH1-L14,RSH1-L14,SH <> TH,SH key = TH key
6,6,6,六,六,,six,six,liù,liù,six/6,liu4,0.04%,478,2,75,84,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
296,296,325,高,高,,tall,tall,gāo,gāo,high/tall,gao1,0.15%,134,1,76,83,RTH1-L14,RTH1-L14,RSH1-L14,RSH1-L14,SH = TH,SH key = TH key
304,304,332,就,就,,at once,at once,jiù,jiù,at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake,jiu4,0.40%,27,1,77,85,RTH1-L14,RTH1-L14,RSH1-L14,RSH1-L14,SH = TH,SH key = TH key
311,311,1393,書,书,n.,book,book,shū,shū,book/letter,shu1,0.08%,282,1,78,292,RTH1-L15,RTH1-L15,RSH1-L49,RSH1-L49,SH <> TH,SH key = TH key
322,322,348,計,计,n.,plan,plan,jì,jì,to calculate/to compute/to count/reckon/ruse/to plan,ji4,0.09%,251,1,79,87,RTH1-L15,RTH1-L15,RSH1-L15,RSH1-L15,SH <> TH,SH key = TH key
326,326,354,話,话,n.,talk,talk,huà,huà|huo,dialect/language/spoken words/speech/talk/words/conversation/what someone said,hua4,0.12%,170,1,80,88,RTH1-L15,RTH1-L15,RSH1-L15,RSH1-L15,SH <> TH,SH key = TH key
332,332,1319,這,这,,this,this,zhè,zhè,"this/these, this/these/(sometimes used before a measure word, especially in Beijing)",zhe4/zhei4,0.80%,11,1,81,277,RTH1-L15,RTH1-L15,RSH1-L44,RSH1-L44,SH <> TH,SH key = TH key
336,336,364,或,或,,or,or,huò,huò,maybe/perhaps/might/possibly/or,huo4,0.13%,160,1,82,90,RTH1-L16,RTH1-L16,RSH1-L16,RSH1-L16,SH = TH,SH key = TH key
341,341,368,成,成,,turn into,turn into,chéng,chéng,"finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth",cheng2/cheng4,0.26%,59,1,83,91,RTH1-L16,RTH1-L16,RSH1-L16,RSH1-L16,SH = TH,SH key = TH key
349,349,362,戰,战,n.,war,war,zhàn,zhàn,to fight/fight/war/battle,zhan4,0.14%,145,1,84,89,RTH1-L16,RTH1-L16,RSH1-L16,RSH1-L16,SH <> TH,SH key = TH key
362,362,387,正,正,v./adj.,correct,correct,zhèng,zhèng|zhēng,"Chinese 1st month of year, just (right)/main/upright/straight/correct/principle",zheng1/zheng4,0.15%,129,1,85,92,RTH1-L17,RTH1-L17,RSH1-L17,RSH1-L17,SH = TH,SH key = TH key
363,363,389,政,政,,politics,politics,zhèng,zhèng,political/politics/government,zheng4,0.14%,150,1,86,93,RTH1-L17,RTH1-L17,RSH1-L17,RSH1-L17,SH = TH,SH key = TH key
364,364,390,定,定,,settle on,settle on,dìng,dìng,to set/to fix/to determine/to decide/to order,ding4,0.22%,77,1,87,94,RTH1-L17,RTH1-L17,RSH1-L17,RSH1-L17,SH = TH,SH key = TH key
365,365,391,走,走,v.,walk,walk,zǒu,zǒu,to walk/to go/to move,zou3,0.10%,207,1,88,95,RTH1-L17,RTH1-L17,RSH1-L17,RSH1-L17,SH = TH,SH key = TH key
368,368,394,是,是,,be,be,shì,shì,is/are/am/yes/to be,shi4,1.35%,3,1,89,96,RTH1-L17,RTH1-L17,RSH1-L17,RSH1-L17,SH = TH,SH key = TH key
369,369,395,題,题,,topic,topic,tí,tí,topic/subject/to inscribe/to superscribe,ti2,0.10%,218,1,90,97,RTH1-L17,RTH1-L17,RSH1-L17,RSH1-L17,SH <> TH,SH key = TH key
370,370,398,建,建,,build,build,jiàn,jiàn,to establish/to found/to set up/to build/to construct,jian4,0.09%,244,1,91,98,RTH1-L17,RTH1-L17,RSH1-L17,RSH1-L17,SH = TH,SH key = TH key
388,388,419,市,市,n.,market,market,shì,shì,market/city,shi4,0.09%,254,1,92,99,RTH1-L18,RTH1-L18,RSH1-L18,RSH1-L18,SH = TH,SH key = TH key
393,393,424,制,制,,system,system,zhì,zhì,"system/to make/to manufacture/to control/to regulate, manufacture",zhi4,0.13%,163,1,93,100,RTH1-L18,RTH1-L18,RSH1-L18,RSH1-L18,SH = TH,SH key = TH key
399,399,1484,電,电,,electricity,electricity,diàn,diàn,electric/electricity/electrical,dian4,0.10%,230,1,94,306,RTH1-L18,RTH1-L18,RSH1-L55,RSH1-L55,SH <> TH,SH key = TH key
403,403,436,天,天,,heavens,heavens,tiān,tiān,day/sky/heaven,tian1,0.22%,78,1,95,101,RTH1-L18,RTH1-L18,RSH1-L18,RSH1-L18,SH = TH,SH key = TH key
408,408,444,立,立,adj.,standing up,standing up,lì,lì,set up/to stand,li4,0.11%,197,1,96,102,RTH1-L18,RTH1-L18,RSH1-L18,RSH1-L18,SH = TH,SH key = TH key
422,422,456,比,比,,compare,compare,bǐ,bǐ|pí|bì,"(particle used for comparison and ""-er than"")/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near",bi3/bi4,0.10%,199,1,97,103,RTH1-L18,RTH1-L18,RSH1-L18,RSH1-L18,SH = TH,SH key = TH key
426,426,460,此,此,,this (literary),this (literary),cǐ,cǐ,this/these,ci3,0.16%,116,1,98,104,RTH1-L18,RTH1-L18,RSH1-L18,RSH1-L18,SH = TH,SH key = TH key
427,427,461,些,些,,somewhat,somewhat,xiē,xiē,some/few/several/(a measure word),xie1,0.21%,86,1,99,105,RTH1-L18,RTH1-L18,RSH1-L18,RSH1-L18,SH = TH,SH key = TH key
428,428,462,它,它,,it,it,tā,tā,it,ta1,0.18%,107,1,100,106,RTH1-L18,RTH1-L18,RSH1-L18,RSH1-L18,SH = TH,SH key = TH key
433,433,469,海,海,,sea,sea,hǎi,hǎi,ocean/sea,hai3,0.11%,189,1,101,108,RTH1-L18,RTH1-L18,RSH1-L18,RSH1-L18,SH = TH,SH key = TH key
443,443,478,次,次,,next,next,cì,cì,nth/number (of times)/order/sequence/next/second(ary)/(measure word),ci4,0.11%,183,1,102,109,RTH1-L18,RTH1-L18,RSH1-L18,RSH1-L18,SH = TH,SH key = TH key
444,444,479,資,资,,assets,assets,zī,zī,resources/capital/to provide/to supply/to support/money/expense,zi1,0.09%,257,1,103,110,RTH1-L18,RTH1-L18,RSH1-L18,RSH1-L18,SH <> TH,SH key = TH key
461,461,494,方,方,,direction,direction,fāng,fāng,square/quadrilateral/direction/just,fang1,0.25%,60,1,104,111,RTH1-L19,RTH1-L19,RSH1-L19,RSH1-L19,SH = TH,SH key = TH key
463,463,496,放,放,v.,release,release,fàng,fàng,to release/to free/to let go/to put/to place/to let out,fang4,0.08%,291,1,105,112,RTH1-L19,RTH1-L19,RSH1-L19,RSH1-L19,SH = TH,SH key = TH key
469,469,501,說,说,,speak,speak,shuō,shuō|shuì,"persuade (politically), to speak/to say",shui4/shuo1,0.45%,24,1,106,113,RTH1-L19,RTH1-L19,RSH1-L19,RSH1-L19,SH <> TH,SH key = TH key
473,473,1249,東,东,,east,east,dōng,dōng,east,dong1,0.11%,194,1,107,260,RTH1-L19,RTH1-L19,RSH1-L40,RSH1-L40,SH <> TH,SH key = TH key
476,476,505,也,也,,also,also,yě,yě,also/too,ye3,0.37%,31,1,108,114,RTH1-L20,RTH1-L20,RSH1-L20,RSH1-L20,SH = TH,SH key = TH key
477,477,506,她,她,,she,she,tā,tā,she,ta1,0.20%,91,1,109,115,RTH1-L20,RTH1-L20,RSH1-L20,RSH1-L20,SH = TH,SH key = TH key
478,478,507,地,地,n.,ground,ground,dì,de|dì,"(subor. part. adverbial)/-ly, earth/ground/field/place/land",de/di4,0.50%,21,1,110,116,RTH1-L20,RTH1-L20,RSH1-L20,RSH1-L20,SH = TH,SH key = TH key
485,485,515,己,己,,self,self,jǐ,jǐ,6th heavenly stem/self,ji3,0.13%,162,1,111,117,RTH1-L20,RTH1-L20,RSH1-L20,RSH1-L20,SH = TH,SH key = TH key
488,488,519,已,已,,already,already,yǐ,yǐ,already/to stop/then/afterwards,yi3,0.16%,117,1,112,119,RTH1-L20,RTH1-L20,RSH1-L20,RSH1-L20,SH = TH,SH key = TH key
491,491,516,起,起,,begin,begin,qǐ,qǐ,to rise/to raise/to get up,qi3,0.22%,75,1,113,118,RTH1-L20,RTH1-L20,RSH1-L20,RSH1-L20,SH = TH,SH key = TH key
492,492,525,家,家,n.,house,house,jiā,jiā|jia|jie,"furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession",jia1,0.26%,56,1,114,120,RTH1-L20,RTH1-L20,RSH1-L20,RSH1-L20,SH = TH,SH key = TH key
493,493,526,場,场,,site,site,chǎng,chǎng|cháng,"a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)",chang3,0.09%,249,1,115,121,RTH1-L20,RTH1-L20,RSH1-L20,RSH1-L20,SH <> TH,SH key = TH key
496,496,529,美,美,,beautiful,beautiful,měi,měi,America/beautiful,mei3,0.14%,151,1,116,122,RTH1-L20,RTH1-L20,RSH1-L20,RSH1-L20,SH = TH,SH key = TH key
499,499,288,達,达,v.,reach,reach,dá,dá|dā|tà,attain/pass through/achieve/reach/realize/clear/inform/notify/dignity,da2,0.08%,289,1,117,76,RTH1-L20,RTH1-L20,RSH1-L13,RSH1-L13,SH <> TH,SH key = TH key
500,500,532,樣,样,,appearance,appearance,yàng,yàng,manner/pattern/way/appearance/shape,yang4,0.21%,88,1,118,123,RTH1-L20,RTH1-L20,RSH1-L20,RSH1-L20,SH <> TH,SH key = TH key
503,503,1362,進,进,v.,advance,advance,jìn,jìn,advance/enter/to come in,jin4,0.21%,81,1,119,285,RTH1-L20,RTH1-L20,RSH1-L47,RSH1-L47,SH <> TH,SH key = TH key
510,510,543,許,许,v.,permit,permit,xǔ,xǔ|hǔ,to allow/to permit/to praise/(surname),xu3,0.09%,263,1,120,125,RTH1-L20,RTH1-L20,RSH1-L20,RSH1-L20,SH <> TH,SH key = TH key
516,516,549,國,国,,country,country,guó,guó,country/state/nation,guo2,0.51%,20,1,121,126,RTH1-L21,RTH1-L21,RSH1-L21,RSH1-L21,SH <> TH,SH key = TH key
518,518,551,因,因,n.,cause,cause,yīn,yīn,cause/reason/because,yin1,0.19%,96,1,122,127,RTH1-L21,RTH1-L21,RSH1-L21,RSH1-L21,SH = TH,SH key = TH key
520,520,554,回,回,v.,return,return,huí,huí,(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam,hui2,0.12%,172,1,123,128,RTH1-L21,RTH1-L21,RSH1-L21,RSH1-L21,SH = TH,SH key = TH key
529,529,563,心,心,,heart,heart,xīn,xīn,heart/mind,xin1,0.20%,90,1,124,129,RTH1-L21,RTH1-L21,RSH1-L21,RSH1-L21,SH = TH,SH key = TH key
532,532,794,認,认,,recognize,recognize,rèn,rèn,to recognize/to know/to admit,ren4,0.10%,213,1,125,188,RTH1-L21,RTH1-L21,RSH1-L26,RSH1-L26,SH <> TH,SH key = TH key
535,535,569,思,思,,consider,consider,sī,sī|sāi,to think/to consider,si1,0.07%,298,1,126,131,RTH1-L21,RTH1-L21,RSH1-L21,RSH1-L21,SH = TH,SH key = TH key
536,536,572,意,意,,idea,idea,yì,yì,idea/meaning/wish/desire/(abbr.) Italy,yi4,0.19%,104,1,127,132,RTH1-L21,RTH1-L21,RSH1-L21,RSH1-L21,SH = TH,SH key = TH key
